"lon","lat","datetime","accuracy","speed"
2.0408436,48.914413,"2014-05-09 18:08:33",5,27.25
2.040495,48.9144981,"2014-05-09 18:08:34",5,27.25
2.0401464,48.9145843,"2014-05-09 18:08:35",5,27.5
2.0394723,48.914746,"2014-05-09 18:08:37",4,26.25
2.0391139,48.9148123,"2014-05-09 18:08:38",5,26.5
2.0384301,48.9148921,"2014-05-09 18:08:40",5,26
2.0377486,48.9149541,"2014-05-09 18:08:42",4,26.5
2.037065,48.9150263,"2014-05-09 18:08:44",4,26
2.0367078,48.9150624,"2014-05-09 18:08:45",4,26
2.0359994,48.9151301,"2014-05-09 18:08:47",4,26
2.0194344,48.9159625,"2014-05-09 18:09:39",893,NA
2.0047384,48.9207367,"2014-05-09 18:10:08",848,NA
2.0048743,48.9207958,"2014-05-09 18:10:19",848,NA
2.0049649,48.9208353,"2014-05-09 18:10:48",901,NA
1.9772108,48.9317124,"2014-05-09 18:11:38",1031,NA
1.9769206,48.9316869,"2014-05-09 18:11:48",1031,NA
1.9739767,48.9327895,"2014-05-09 18:11:53",7,28.2544250488281
1.9733141,48.9330123,"2014-05-09 18:11:55",11,28.2544250488281
1.9727524,48.933162,"2014-05-09 18:11:56",4,28.5
1.9720185,48.9333323,"2014-05-09 18:11:58",5,29
1.9716821,48.9334815,"2014-05-09 18:11:59",6,29
1.9709425,48.933666,"2014-05-09 18:12:01",6,29.25
1.9705719,48.9337594,"2014-05-09 18:12:03",7,29.25
1.9698181,48.9339605,"2014-05-09 18:12:04",7,29.5
1.9690936,48.9341281,"2014-05-09 18:12:06",7,29
1.9687626,48.9342616,"2014-05-09 18:12:07",7,28.5
1.9683934,48.9343784,"2014-05-09 18:12:08",8,29
1.9680179,48.9344696,"2014-05-09 18:12:09",9,29
1.9676832,48.9345617,"2014-05-09 18:12:10",9,28.75
1.9673152,48.9346439,"2014-05-09 18:12:11",8,28.5
1.9669232,48.9347945,"2014-05-09 18:12:12",8,29.25
1.9666229,48.9348603,"2014-05-09 18:12:13",9,28.25
